GP,W,D,L,F,A,GD,P,Team,Year,PPG
30,13,9,8,39,29,+10,48,1 HOU Houston Dynamo FC,2009,
30,12,12,6,36,31,+5,48,2 LA LA Galaxy,2009,
30,12,11,7,38,29,+9,47,3 SEA Seattle Sounders FC,2009,
30,13,6,11,34,31,+3,45,4 CHV Chivas USA,2009,
30,11,7,12,43,35,+8,40,5 RSL Real Salt Lake,2009,
30,10,10,10,42,38,+4,40,6 COL Colorado Rapids,2009,
30,11,6,13,50,47,+3,39,7 DAL FC Dallas,2009,
30,7,9,14,36,50,-14,30,8 SJ San Jose Earthquakes,2009,
30,15,6,9,38,29,+9,51,1 NY New York Red Bulls,2010,
30,14,8,8,40,34,+6,50,2 CLB Columbus Crew,2010,
30,11,6,13,36,35,+1,39,3 SKC Sporting Kansas City,2010,
30,9,9,12,37,38,-1,36,4 CHI Chicago Fire FC,2010,
30,9,8,13,33,41,-8,35,5 TOR Toronto FC,2010,
30,9,5,16,32,50,-18,32,6 NE New England Revolution,2010,
30,8,7,15,35,49,-14,31,7 PHI Philadelphia Union,2010,
30,6,4,20,21,47,-26,22,8 DC D.C. United,2010,
30,18,5,7,44,26,+18,59,1 LA LA Galaxy,2010,
30,15,11,4,45,20,+25,56,2 RSL Real Salt Lake,2010,
30,12,14,4,42,28,+14,50,3 DAL FC Dallas,2010,
30,14,6,10,39,35,+4,48,4 SEA Seattle Sounders FC,2010,
30,12,10,8,44,32,+12,46,5 COL Colorado Rapids,2010,
30,13,7,10,34,33,+1,46,6 SJ San Jose Earthquakes,2010,
30,9,6,15,40,49,-9,33,7 HOU Houston Dynamo FC,2010,
30,8,4,18,31,45,-14,28,8 CHV Chivas USA,2010,
34,13,12,9,50,40,+10,51,1 SKC Sporting Kansas City,2011,
34,12,13,9,45,41,+4,49,2 HOU Houston Dynamo FC,2011,
34,11,15,8,44,36,+8,48,3 PHI Philadelphia Union,2011,
34,13,8,13,43,44,-1,47,4 CLB Columbus Crew,2011,
34,10,16,8,50,44,+6,46,5 NY New York Red Bulls,2011,
34,9,16,9,46,45,+1,43,6 CHI Chicago Fire FC,2011,
34,9,12,13,49,52,-3,39,7 DC D.C. United,2011,
34,6,15,13,36,59,-23,33,8 TOR Toronto FC,2011,
34,5,13,16,38,58,-20,28,9 NE New England Revolution,2011,
34,19,10,5,48,28,+20,67,1 LA LA Galaxy,2011,
34,18,9,7,56,37,+19,63,2 SEA Seattle Sounders FC,2011,
34,15,8,11,44,36,+8,53,3 RSL Real Salt Lake,2011,
34,15,7,12,42,39,+3,52,4 DAL FC Dallas,2011,
34,12,13,9,44,41,+3,49,5 COL Colorado Rapids,2011,
34,11,9,14,40,48,-8,42,6 POR Portland Timbers,2011,
34,8,14,12,40,45,-5,38,7 SJ San Jose Earthquakes,2011,
34,8,12,14,41,43,-2,36,8 CHV Chivas USA,2011,
34,6,10,18,35,55,-20,28,9 VAN Vancouver Whitecaps,2011,
34,18,9,7,42,27,+15,63,1 SKC Sporting Kansas City,2012,
34,17,7,10,53,43,+10,58,2 DC D.C. United,2012,
34,16,9,9,57,46,+11,57,3 NY New York Red Bulls,2012,
34,17,6,11,46,41,+5,57,4 CHI Chicago Fire FC,2012,
34,14,11,9,48,41,+7,53,5 HOU Houston Dynamo FC,2012,
34,15,7,12,44,44,0,52,6 CLB Columbus Crew,2012,
34,12,6,16,45,51,-6,42,7 MTL CF Montréal,2012,
34,10,6,18,37,45,-8,36,8 PHI Philadelphia Union,2012,
34,9,8,17,39,44,-5,35,9 NE New England Revolution,2012,
34,5,8,21,36,62,-26,23,10 TOR Toronto FC,2012,
34,19,9,6,72,43,+29,66,1 SJ San Jose Earthquakes,2012,
34,17,6,11,46,35,+11,57,2 RSL Real Salt Lake,2012,
34,15,11,8,51,33,+18,56,3 SEA Seattle Sounders FC,2012,
34,16,6,12,59,47,+12,54,4 LA LA Galaxy,2012,
34,11,10,13,35,41,-6,43,5 VAN Vancouver Whitecaps,2012,
34,9,12,13,42,47,-5,39,6 DAL FC Dallas,2012,
34,11,4,19,44,50,-6,37,7 COL Colorado Rapids,2012,
34,8,10,16,34,56,-22,34,8 POR Portland Timbers,2012,
34,7,9,18,24,58,-34,30,9 CHV Chivas USA,2012,
34,17,8,9,58,41,+17,59,1 NY New York Red Bulls,2013,
34,17,7,10,47,30,+17,58,2 SKC Sporting Kansas City,2013,
34,14,9,11,49,38,+11,51,3 NE New England Revolution,2013,
34,14,9,11,41,41,0,51,4 HOU Houston Dynamo FC,2013,
